TrueSpecies,subject_id,DateTimeLub,File,season,Classifications,n_different_classifications,n_wrong_classifications
['dikdik'],70365789,2021-02-09 06:54:03,Site_35_part1_IMG_1028,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['dikdik'],70365801,2021-02-09 06:59:17,Site_35_part1_IMG_1040,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['guineafowlvulturine'],70365809,2021-02-09 07:02:59,Site_35_part1_IMG_1049,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['guineafowlvulturine'],70365810,2021-02-09 07:09:15,Site_35_part1_IMG_1050,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine']]",2,1
['guineafowlvulturine'],70365816,2021-02-09 07:13:31,Site_35_part1_IMG_1056,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['guineafowlvulturine'],70365877,2021-02-12 17:57:36,Site_35_part1_IMG_1164,1,"[['birdother'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",2,1
['dikdik'],70365881,2021-02-12 19:17:27,Site_35_part1_IMG_1168,1,"[['dikdik'], ['impala'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",2,1
['dikdik'],70365897,2021-02-13 10:29:38,Site_35_part1_IMG_1192,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['impala'], ['dikdik'], ['dikdik']]",2,1
['impala'],70365942,2021-02-14 13:21:00,Site_35_part1_IMG_1274,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['dikdik']]",2,1
['impala'],70365958,2021-02-14 16:35:57,Site_35_part1_IMG_1298,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['dikdik'], ['impala'], ['impala'], ['dikdik']]",2,2
['guineafowlvulturine'],70365971,2021-02-15 06:51:03,Site_35_part1_IMG_1311,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['guineafowlvulturine'],70365977,2021-02-15 06:58:47,Site_35_part1_IMG_1317,1,"[['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine']]",2,3
['guineafowlvulturine'],70365983,2021-02-16 18:40:58,Site_35_part1_IMG_1562,1,"[['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine']]",2,3
['guineafowlvulturine'],70366007,2021-02-17 06:42:52,Site_35_part1_IMG_1591,1,"[['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlvulturine']]",2,4
['guineafowlvulturine'],70366016,2021-02-17 19:01:11,Site_35_part1_IMG_1696,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['buffalo'],70366021,2021-02-17 20:13:53,Site_35_part1_IMG_1701,1,"[['livestock'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['livestock'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo']]",2,2
['dikdik'],70366038,2021-02-18 06:16:02,Site_35_part1_IMG_1718,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['impala'], ['dikdik'], ['dikdik'], ['impala'], ['hippo'], ['dikdik'], ['dikdik']]",3,3
['dikdik'],70366053,2021-02-18 22:13:41,Site_35_part1_IMG_1804,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['impala'],70366117,2021-02-19 13:55:05,Site_35_part1_IMG_1912,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['dikdik'], ['impala'], ['impala'], ['impala'], ['impala'], ['livestock']]",3,2
['impala'],70366153,2021-02-19 13:58:46,Site_35_part1_IMG_1948,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",1,0
['impala'],70366170,2021-02-19 14:00:32,Site_35_part1_IMG_1965,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",1,0
['impala'],70366172,2021-02-19 14:00:44,Site_35_part1_IMG_1967,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",1,0
['impala'],70366173,2021-02-19 14:00:54,Site_35_part1_IMG_1968,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",1,0
['impala'],70366175,2021-02-19 14:01:07,Site_35_part1_IMG_1970,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",1,0
['impala'],70366220,2021-02-19 14:05:50,Site_35_part1_IMG_2015,1,"[['dikdik'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",2,1
['impala'],70366222,2021-02-19 14:06:02,Site_35_part1_IMG_2017,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['dikdik'], ['impala'], ['impala'], ['impala']]",2,1
['impala'],70366240,2021-02-19 14:07:51,Site_35_part1_IMG_2035,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",1,0
['impala'],70366254,2021-02-19 14:09:20,Site_35_part1_IMG_2049,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",1,0
['impala'],70366260,2021-02-19 14:10:02,Site_35_part1_IMG_2055,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['dikdik'], ['impala'], ['dikdik']]",2,2
['impala'],70366264,2021-02-19 14:10:28,Site_35_part1_IMG_2059,1,"[['livestock'], ['impala'], ['impala'], ['impala'], ['impala'], ['dikdik'], ['impala'], ['impala'], ['impala'], ['impala'], ['livestock']]",3,3
['impala'],70366295,2021-02-19 14:19:34,Site_35_part1_IMG_2092,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",1,0
['impala'],70366298,2021-02-19 17:20:55,Site_35_part1_IMG_2109,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",1,0
['impala'],70366301,2021-02-19 17:59:47,Site_35_part1_IMG_2112,1,"[['impala'], ['impala'], ['dikdik'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",2,1
['dikdik'],70366317,2021-02-20 19:02:19,Site_35_part1_IMG_2148,1,"[['dikdik'], ['dikdik'], ['impala'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",2,1
['dikdik'],70366319,2021-02-20 19:03:03,Site_35_part1_IMG_2150,1,"[['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",1,0
['zebragrevys'],70366322,2021-02-21 00:14:02,Site_35_part1_IMG_2153,1,"[['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys'], ['zebragrevys']]",1,0
['guineafowlvulturine'],70366351,2021-02-22 18:20:17,Site_35_part1_IMG_2210,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['dikdik'],70366364,2021-02-22 19:41:45,Site_35_part1_IMG_2223,1,"[['dikdik'], ['impala'], ['dikdik'], ['dikdik'], ['dikdik'], ['impala'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik'], ['dikdik']]",2,2
['impala'],70366383,2021-02-02 15:40:43,Site_36_part1_IMG_7423,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",1,0
['buffalo'],70366423,2021-02-04 02:51:50,Site_36_part1_IMG_7506,1,"[['buffalo'], ['livestock'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['buffalo'], ['livestock'], ['buffalo']]",2,2
['guineafowlvulturine'],70366459,2021-02-04 06:46:42,Site_36_part1_IMG_7555,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine']]",1,0
['guineafowlvulturine'],70366462,2021-02-04 06:46:47,Site_36_part1_IMG_7558,1,"[['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlvulturine'], ['guineafowlhelmeted'], ['guineafowlvulturine'], ['guineafowlvulturine']]",2,2
['impala'],70366513,2021-02-08 18:40:38,Site_36_part1_IMG_7761,1,"[['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala'], ['impala']]",1,0
